[Header]
TITLE,H20250619(ISISA HPHT 475C 6GPa 3.5h YBCO7).dat
BYAPP,HeatCapacity,3.9.11,1.7
INFO,17.43,MASS:Sample Mass (mg)
INFO,0.1,MASSERR:Sample Mass Error (mg)
INFO,666.22,MOLWGHT:Formula Weight (g/mole)
INFO,13,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.11 Build 2,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (mJ/mole-K),Samp HC Err (mJ/mole-K),Addenda HC (�J/K),Addenda HC Err (�J/K),Total HC (�J/K),Total HC Err (�J/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (mJ/mole-K/K),Addenda Offset HC (�J/K)
22048915.97,,5905,3.77261,3.7826,0.325,9.4E-6,3.7674929,0.037857884,88.632591,0.5486,1.933835,0.004442,4.2526877,0.005384,0.63471827,1.2212308,0.007161818,97.656992,247.9609,0.6664,1,,,,3.5072842E-6,2.2885559,14.194003,23.525616,0
22048945.77,,5905,3.77321,3.7832,0.325,9.3E-6,3.7689317,0.039439289,88.121573,0.5436,1.9364319,0.00444,4.2419151,0.005224,0.60234114,1.2108305,0.0067353572,97.778112,248.53416,0.6633,1,,,,3.5269586E-6,2.4424616,14.204846,23.381048,0
22048975.94,,5905,3.77341,3.7833,0.325,9.4E-6,3.7689934,0.039174709,88.601798,0.5457,1.9365152,0.00444,4.2545623,0.005193,1.1936016,1.2165259,0.0069216852,97.72657,248.08839,0.66,1,,,,3.5215955E-6,2.421661,14.205311,23.50808,0
22049318.41,,5905,4.08489,4.0954,0.325,9.4E-6,4.0758307,0.040312459,98.081702,0.6049,2.471976,0.004836,5.0380414,0.005804,1.8082269,1.3106789,0.0083460713,97.482548,259.3475,0.6918,1,,,,3.8697594E-6,2.4330518,16.612396,24.064224,0
22049351.78,,5905,4.08457,4.0951,0.325,9.3E-6,4.076806,0.042377316,97.697851,0.5985,2.4708966,0.004832,5.0269194,0.005488,1.6150628,1.2885726,0.0062263637,98.084394,259.74885,0.683,1,,,,3.9209477E-6,2.6213577,16.620348,23.964312,0
22049382.83,,5905,4.08482,4.0957,0.325,9.4E-6,4.0764978,0.041742952,98.117698,0.6109,2.4734339,0.004841,5.0404411,0.006206,0.35439128,1.2998904,0.0075704382,97.695233,259.35822,0.7052,1,,,,3.9014556E-6,2.5771452,16.617834,24.069116,0
22050554.28,,5905,4.42776,4.4368,0.325,9.3E-6,4.4193799,0.042903934,111.31308,0.7556,3.1277468,0.009282,6.0399785,0.01056,0.84927076,1.4107237,0.0094562202,97.353034,269.59254,0.8411,1,,,,4.3087219E-6,2.5997808,19.530919,25.187489,0
22050587.92,,5905,4.42734,4.4361,0.325,9.4E-6,4.4201943,0.045412658,111.41484,0.7439,3.1264658,0.009272,6.0413598,0.009955,1.7124723,1.4119793,0.0094856015,97.347329,269.5601,0.8221,1,,,,4.3059731E-6,2.8214474,19.538118,25.20587,0
22050621.84,,5905,4.42531,4.4355,0.325,9.3E-6,4.4169307,0.04558199,112.53613,0.7611,3.1201561,0.009222,6.0643859,0.01054,2.6456864,1.4400874,0.01033332,97.16995,268.46346,0.8335,1,,,,4.2402427E-6,2.8239585,19.509277,25.478356,0
22050838.34,,5905,4.78439,4.8073,0.325,9.1E-6,4.774192,0.046981028,127.35895,0.9115,3.8878226,0.01338,7.2198549,0.01426,1.2741363,1.5213171,0.0087899435,97.705513,278.45308,0.9288,1,,,,4.7696685E-6,2.8801748,22.792909,26.676546,0
22050872.72,,5905,4.78514,4.8084,0.325,9.4E-6,4.7759558,0.048651236,126.25954,0.9064,3.8921215,0.01339,7.1953903,0.01425,1.1772619,1.5151274,0.0078254593,97.944711,279.36211,0.9351,1,,,,4.7701456E-6,3.0426342,22.809754,26.436496,0
22050907.41,,5905,4.78621,4.8094,0.325,9.3E-6,4.7766786,0.048628296,126.3684,0.9057,3.8939541,0.0134,7.200071,0.0142,1.3075769,1.5302373,0.009187759,97.61536,279.32413,0.9332,1,,,,4.7295813E-6,3.0302547,22.816658,26.455287,0
22051137.77,,5905,5.17785,5.2052,0.325,9.3E-6,5.1649988,0.05037397,147.8272,1.082,4.8420221,0.01582,8.7095555,0.01758,0.48368685,1.7313077,0.013634451,96.87,286.64698,0.9815,1,,,,5.0629304E-6,3.0604746,26.677213,28.620956,0
22051172.47,,5905,5.18007,5.2078,0.325,9.3E-6,5.1704067,0.053597224,148.87096,1.063,4.8567658,0.01585,8.7516066,0.01653,1.778428,1.6918353,0.011110533,97.382784,286.27492,0.9517,1,,,,5.2005661E-6,3.4626154,26.733105,28.792892,0
22051207.45,,5905,5.18149,5.2091,0.325,9.1E-6,5.1722377,0.052925111,147.44708,1.055,4.8612003,0.01586,8.7187889,0.0165,2.2370834,1.67634,0.010453013,97.510336,287.29519,0.9583,1,,,,5.2272461E-6,3.3836707,26.752043,28.507406,0
22051431.44,,5905,5.60615,5.6399,0.325,9.3E-6,5.5933872,0.053828494,171.24751,1.195,6.0542759,0.01714,10.534544,0.01781,1.6900111,1.8504933,0.012769761,97.226386,295.57115,0.9561,1,,,,5.7224092E-6,3.3526799,31.28598,30.616065,0
22051469.05,,5905,5.6089,5.642,0.325,9.4E-6,5.5964637,0.057127403,174.29153,1.225,6.0599999,0.01715,10.619907,0.01849,0.56403661,1.8622994,0.0129874,97.203628,294.00192,0.959,1,,,,5.7330363E-6,3.7009867,31.320406,31.143154,0
22051508.78,,5905,5.60943,5.6423,0.325,9.3E-6,5.5984107,0.057500894,170.74012,1.188,6.0654098,0.01715,10.532403,0.0176,1.5292984,1.8257866,0.009594048,97.877664,296.12936,0.9547,1,,,,5.7913129E-6,3.7245988,31.342203,30.497962,0
22051747.36,,5905,6.0718,6.1043,0.325,9.4E-6,6.0526926,0.057698657,203.2107,1.442,7.5296071,0.01966,12.846113,0.02222,0.41738079,2.0629439,0.014969581,97.066051,302.10723,0.9973,1,,,,6.2595538E-6,3.6515732,36.635087,33.573603,0
