[Header]
TITLE,H241008(P240917-KClO3).dat
BYAPP,HeatCapacity,3.9.11,1.7
INFO,6.81,MASS:Sample Mass (mg)
INFO,0.05,MASSERR:Sample Mass Error (mg)
INFO,666.22,MOLWGHT:Formula Weight (g/mole)
INFO,13,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.11 Build 2,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (mJ/mole-K),Samp HC Err (mJ/mole-K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (mJ/mole-K/K),Addenda Offset HC (µJ/K)
1597196.2,CALFILE: C:\QdPpms\HEATCA~1\TempCal\Standard\Puck1171.cal|Addenda #159 measured on 07/10/24 from 2.1315 to 299.29 K
1608672.23,,5905,15.4735,15.5569,0.619,9.4E-6,15.434942,0.1569251,3666.9951,33.81,46.684946,0.1982,84.168415,0.2091,0.2414294,4.2221722,0.057879994,94.627778,293.71425,1.264,1,,,,2.0162472E-5,8.5349477,238.23744,237.57751,0
1608721.81,,5905,15.472,15.5555,0.619,9.3E-6,15.429863,0.15547005,3677.7995,33.55,46.648388,0.1981,84.242297,0.2035,1.0086237,4.1950383,0.058059019,94.579569,293.32974,1.246,1,,,,2.0313863E-5,8.4443444,238.08068,238.35594,0
1609040.95,,5905,17.5781,17.6882,0.619,9.4E-6,17.526457,0.15603013,5435.5967,49.43,61.871566,0.2809,117.43341,0.2981,0.3959265,5.235484,0.0742353,94.48222,292.48849,1.239,1,,,,2.27278E-5,8.3900765,307.1767,310.13665,0
1609096.91,,5905,17.5858,17.6897,0.619,9.3E-6,17.544126,0.17966776,5453.0789,49.1,62.000734,0.2815,117.74128,0.2905,0.69822799,5.21948,0.072777622,94.571481,292.46985,1.224,1,,,,2.2852413E-5,10.470968,307.79637,310.82077,0
1609152.88,,5905,17.5917,17.6894,0.619,9.4E-6,17.547271,0.17913122,5446.0783,48.99,62.023955,0.2816,117.69294,0.2894,2.4498745,5.194594,0.071817739,94.615866,292.64767,1.223,1,,,,2.2949364E-5,10.43896,307.90671,310.36612,0
1609494.42,,5905,19.9733,20.0984,0.619,9.4E-6,19.916394,0.17933782,7961.4055,70.21,81.953999,0.3617,163.33428,0.3975,0.22687643,6.4758995,0.089980694,94.590217,292.5936,1.196,1,,,,2.5585079E-5,10.389188,396.66273,399.74132,0
1609556.83,,5905,19.9815,20.1071,0.619,9.3E-6,19.940062,0.20594929,7981.5215,69.75,82.157648,0.3623,163.74355,0.3867,0.33252116,6.4242012,0.086328395,94.763538,292.6941,1.182,1,,,,2.5843035E-5,12.951799,397.60608,400.27566,0
1609619.33,,5905,19.9878,20.1128,0.619,9.4E-6,19.945644,0.20495064,7972.4521,69.38,82.20513,0.3625,163.69833,0.3807,0.54052892,6.3984348,0.085928991,94.7669,292.88743,1.176,1,,,,2.5939082E-5,12.848402,397.82873,399.70893,0
1610028.52,,5905,22.98,23.1067,0.619,9.3E-6,22.925704,0.23079716,11798.181,97.8,110.13452,0.4139,230.73374,0.4641,0.33969051,7.96335,0.10770503,94.705594,295.14186,1.114,1,,,,2.942313E-5,15.194731,525.58791,514.62679,0
1610414.63,,5905,26.2291,26.356,0.619,9.3E-6,26.154971,0.24122686,16354.19,136.3,143.6597,0.5558,310.82976,0.6598,0.11575464,9.6806911,0.12341972,94.976509,301.3823,1.165,1,,,,3.2605884E-5,15.9267,684.08252,625.28038,0
